Unique Lake,Latitude,Longitude,Chla,TP,TN,DO,TSS,Country,Lake Name
CAN10143,44.77480466,-63.22876918,2.15,7,230,6.18,16.7,CAN,CHEZZETCOOK
CAN10189,44.60004916,-64.35088934,2,6,160,9.4,0.75,CAN,
CAN10217,44.27218197,-65.94057129,0.99,12,290,6.69,25,CAN,PORCUPINE
CAN10229,44.82985679,-63.71706862,7.5,6,260,7.5,0.75,CAN,FENERTY
CAN10233,44.83179364,-63.70964124,2.2,2.5,100,10.4,0.6,CAN,HORSE SHOE
CAN10242,44.35056356,-65.85316447,3.46,9,240,13.6,10,CAN,PROVOST
CAN10243,44.69102753,-64.17512095,2.2,8,160,9.4,2.7,CAN,
CAN10248,44.39715144,-65.10496828,2.1,2.5,170,9.8,0.75,CAN,HARMONY
CAN10250,44.74532779,-63.78517063,1.1,17,330,11.8,2.9,CAN,HALFWAY
CAN10250,44.74532779,-63.78517063,0.3,13,330,13.2,1.6,CAN,HALFWAY
CAN10250,44.74532779,-63.78517063,0.38,19,260,12,5.5,CAN,HALFWAY
CAN10329,46.55984167,-60.49963367,2.1,5,530,8.45,1.2,CAN,WRECK COVE (RESERVOIR)
CAN10332,46.56384132,-60.55557063,0.7,9,310,7.8,0.2,CAN,GISBORNE FLOWAGE
CAN10332,46.56384132,-60.55557063,0.4,10,320,7.7,0.4,CAN,GISBORNE FLOWAGE
CAN10339,46.65333253,-60.63415343,0.05,9,450,8.2,0.8,CAN,CHETICAMP
CAN10339,46.65333253,-60.63415343,0.73,30,370,6.9,0.5,CAN,CHETICAMP
CAN10481,46.52017493,-60.657948,0.2,9,410,8.2,0.4,CAN,EGG
CAN10485,46.52017493,-60.657948,0.37,10,560,5.65,0.3,CAN,AX-Z
JPN11040,35.56778,135.88167,30,30,750,13,2,JPN,Lake Mikata
JPN11040,35.56778,135.88167,26,35,800,12,12,JPN,Lake Mikata
JPN11040,35.56778,135.88167,40,74,680,8.9,8,JPN,Lake Mikata
JPN11040,35.56778,135.88167,38,51,880,9.2,3,JPN,Lake Mikata
JPN11040,35.56778,135.88167,14,41,660,11,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,54,98,1000,7.3,19,JPN,Lake Mikata
JPN11040,35.56778,135.88167,20,57,600,9.7,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,41,62,570,10,11,JPN,Lake Mikata
JPN11040,35.56778,135.88167,28,31,850,10,8,JPN,Lake Mikata
JPN11040,35.56778,135.88167,160,100,760,8.5,14,JPN,Lake Mikata
JPN11040,35.56778,135.88167,30,70,460,7,15,JPN,Lake Mikata
JPN11040,35.56778,135.88167,14,34,430,10,5,JPN,Lake Mikata
JPN11040,35.56778,135.88167,60,79,670,8.3,13,JPN,Lake Mikata
JPN11040,35.56778,135.88167,26,59,570,8.4,15,JPN,Lake Mikata
JPN11040,35.56778,135.88167,55,72,710,9.9,10,JPN,Lake Mikata
JPN11040,35.56778,135.88167,51,68,1000,9.5,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,30,44,430,4.9,3,JPN,Lake Mikata
JPN11040,35.56778,135.88167,33,45,1000,11,2,JPN,Lake Mikata
JPN11040,35.56778,135.88167,46.7,51,540,11,11,JPN,Lake Mikata
JPN11040,35.56778,135.88167,16,45,610,9.8,9,JPN,Lake Mikata
JPN11040,35.56778,135.88167,35,59,390,10,13,JPN,Lake Mikata
JPN11040,35.56778,135.88167,59,92,930,8.7,16,JPN,Lake Mikata
JPN11040,35.56778,135.88167,50,54,710,12,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,20,44,1200,12,5,JPN,Lake Mikata
JPN11040,35.56778,135.88167,61.9,68,650,9,11,JPN,Lake Mikata
JPN11040,35.56778,135.88167,25,58,480,10,8,JPN,Lake Mikata
JPN11040,35.56778,135.88167,44,78,660,5.5,14,JPN,Lake Mikata
JPN11040,35.56778,135.88167,24,32,760,11,3,JPN,Lake Mikata
JPN11040,35.56778,135.88167,21,41,400,8.1,6,JPN,Lake Mikata
JPN11040,35.56778,135.88167,32,46,920,11,6,JPN,Lake Mikata
JPN11040,35.56778,135.88167,7.7,33,560,10,3,JPN,Lake Mikata
JPN11040,35.56778,135.88167,57.8,78,1100,11,11,JPN,Lake Mikata
JPN11040,35.56778,135.88167,59.6,45,690,10,6,JPN,Lake Mikata
JPN11040,35.56778,135.88167,52,75,1000,11,8,JPN,Lake Mikata
JPN11040,35.56778,135.88167,53,62,790,7.8,15,JPN,Lake Mikata
JPN11040,35.56778,135.88167,24,50,590,10,15,JPN,Lake Mikata
JPN11040,35.56778,135.88167,29,42,440,9.9,9,JPN,Lake Mikata
JPN11040,35.56778,135.88167,28,79,710,9.2,10,JPN,Lake Mikata
JPN11040,35.56778,135.88167,55.3,56,940,10,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,35,51,1000,11,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,45.1,24,980,10,8,JPN,Lake Mikata
JPN11040,35.56778,135.88167,26,54,450,10,7,JPN,Lake Mikata
JPN11040,35.56778,135.88167,53,77,640,9.8,18,JPN,Lake Mikata
JPN11040,35.56778,135.88167,39,190,1100,6.9,12,JPN,Lake Mikata
JPN11040,35.56778,135.88167,30,22,1200,11,6,JPN,Lake Mikata
JPN11040,35.56778,135.88167,10,32,650,13,4,JPN,Lake Mikata
JPN11040,35.56778,135.88167,110,89,2000,9.7,25,JPN,Lake Mikata
JPN11041,35.04111,135.89611,12,16,240,9.8,2,JPN,Biwa
JPN11041,35.04111,135.89611,1.8,11,310,12,1.8,JPN,Biwa
JPN11041,35.39167,136.13528,1.9,10,270,7.7,1.3,JPN,Biwa
JPN11041,35.04111,135.89611,4.5,12,340,10.4,7,JPN,Biwa
JPN11041,35.04111,135.89611,4.9,12,320,10.7,3.1,JPN,Biwa
JPN11041,35.04111,135.89611,13.4,13,410,9,3.2,JPN,Biwa
JPN11041,35.04111,135.89611,5.1,12,360,9.6,2.6,JPN,Biwa
JPN11041,35.04111,135.89611,2,11,190,8.3,2,JPN,Biwa
JPN11041,35.04111,135.89611,7.5,26,270,9.4,15.3,JPN,Biwa
JPN11041,35.04111,135.89611,9,13,270,13.8,2.9,JPN,Biwa
JPN11041,35.04111,135.89611,3.3,12,440,11.2,5.2,JPN,Biwa
JPN11041,35.04111,135.89611,13.7,18,260,10.5,8.8,JPN,Biwa
JPN11041,35.04111,135.89611,11.3,35,350,7.9,11,JPN,Biwa
JPN11041,35.39167,136.13528,2.3,8,170,8.7,1.1,JPN,Biwa
JPN11041,35.04111,135.89611,4,16,310,11.5,5.3,JPN,Biwa
JPN11041,35.04111,135.89611,3.5,11,200,9.7,2.8,JPN,Biwa
JPN11041,35.04111,135.89611,4.5,19,430,9.9,12.4,JPN,Biwa
JPN11041,35.04111,135.89611,23.4,20,260,9.9,10.2,JPN,Biwa
JPN11041,35.04111,135.89611,5.3,11,230,10.1,2.4,JPN,Biwa
JPN11041,35.04111,135.89611,5.1,13,290,8.4,1.6,JPN,Biwa
JPN11041,35.04111,135.89611,6.4,12,310,9.7,2.1,JPN,Biwa
JPN11041,35.04111,135.89611,19.1,14,250,11.4,4.5,JPN,Biwa
JPN11041,35.04111,135.89611,4.2,16,280,11.3,5.2,JPN,Biwa
JPN11041,35.04111,135.89611,2.2,17,200,7.2,4.1,JPN,Biwa
JPN11041,35.04111,135.89611,1.8,18,260,8,1.2,JPN,Biwa
JPN11041,35.04111,135.89611,7.2,20,450,10.9,10.2,JPN,Biwa
JPN11041,35.04111,135.89611,3.8,13,480,10.6,4.8,JPN,Biwa
JPN11041,35.04111,135.89611,10.7,18,390,10.5,6.8,JPN,Biwa
JPN11041,35.04111,135.89611,3.2,10,380,8.8,3.2,JPN,Biwa
JPN11041,35.04111,135.89611,8.6,16,290,9.3,2.6,JPN,Biwa
JPN11041,35.39167,136.13528,4.4,9,290,10.4,1,JPN,Biwa
JPN11041,35.04111,135.89611,2,7,210,11.3,2.3,JPN,Biwa
JPN11041,35.04111,135.89611,10.3,17,430,10.6,5.2,JPN,Biwa
JPN11041,35.04111,135.89611,11.1,20,440,10.7,10.8,JPN,Biwa
JPN11041,35.39167,136.13528,7.1,9,210,10.3,1,JPN,Biwa
JPN11041,35.04111,135.89611,3.4,19,360,8.8,9.7,JPN,Biwa
JPN11041,35.04111,135.89611,5.1,12,300,9.9,3.8,JPN,Biwa
JPN11041,35.04111,135.89611,7.7,16,300,10.8,1.9,JPN,Biwa
JPN11041,35.04111,135.89611,3.7,18,240,9.2,6,JPN,Biwa
JPN11041,35.04111,135.89611,1.4,8,300,8.7,1.2,JPN,Biwa
JPN11041,35.39167,136.13528,6.6,11,350,10.8,2,JPN,Biwa
JPN11041,35.04111,135.89611,5.1,10,220,11.3,1.7,JPN,Biwa
JPN11041,35.04111,135.89611,3.6,16,450,11.3,6,JPN,Biwa
JPN11041,35.39167,136.13528,1.9,6,270,8.4,1,JPN,Biwa
JPN11041,35.04111,135.89611,7.4,11,430,11.8,4.8,JPN,Biwa
JPN11041,35.04111,135.89611,3.6,12,300,11.6,2.3,JPN,Biwa
JPN11041,35.04111,135.89611,3.1,10,230,9.7,3.4,JPN,Biwa
JPN11041,35.04111,135.89611,5.2,17,290,9.6,2.5,JPN,Biwa
JPN11041,35.04111,135.89611,11.5,20,320,8.7,10.8,JPN,Biwa
JPN11041,35.04111,135.89611,16.9,24,510,10.6,17.8,JPN,Biwa
JPN11041,35.04111,135.89611,8.4,11,290,8.3,4,JPN,Biwa
JPN11041,35.04111,135.89611,1.7,10,180,7.9,1.2,JPN,Biwa
JPN11041,35.04111,135.89611,4.8,16,470,11.5,8,JPN,Biwa
JPN11041,35.39167,136.13528,3.4,9,310,8.6,1,JPN,Biwa
JPN11041,35.04111,135.89611,4.3,13,400,9.1,5.2,JPN,Biwa
JPN11041,35.04111,135.89611,11,21,440,11.6,13,JPN,Biwa
JPN11041,35.04111,135.89611,16.7,30,320,10.3,11,JPN,Biwa
JPN11041,35.04111,135.89611,10.9,24,430,12.2,5.5,JPN,Biwa
JPN11041,35.04111,135.89611,1.8,14,250,9.6,1.3,JPN,Biwa
JPN11041,35.04111,135.89611,2,8,230,10.3,1.5,JPN,Biwa
JPN11041,35.04111,135.89611,4.5,10,270,10.9,1.8,JPN,Biwa
JPN11041,35.04111,135.89611,7.5,13,310,9.7,1.8,JPN,Biwa
JPN11041,35.04111,135.89611,12.6,34,500,12.7,19.7,JPN,Biwa
JPN11041,35.04111,135.89611,20.8,24,530,10.2,4,JPN,Biwa
JPN11041,35.04111,135.89611,2.7,12,360,11.2,1.9,JPN,Biwa
JPN11041,35.04111,135.89611,3.3,10,200,10.7,2,JPN,Biwa
JPN11041,35.04111,135.89611,17.8,20,250,8.8,9.4,JPN,Biwa
JPN11041,35.04111,135.89611,5.1,23,460,10.9,20.2,JPN,Biwa
JPN11041,35.04111,135.89611,2.5,10,180,8.2,1.7,JPN,Biwa
JPN11041,35.04111,135.89611,3.1,20,260,9.5,7.7,JPN,Biwa
JPN11041,35.04111,135.89611,6.9,32,420,9,11.4,JPN,Biwa
JPN11041,35.39167,136.13528,5.4,9,360,10.4,1,JPN,Biwa
JPN11041,35.39167,136.13528,1.3,9,200,8.2,1.1,JPN,Biwa
JPN11041,35.04111,135.89611,5.3,13,430,12.5,6.5,JPN,Biwa
JPN11041,35.04111,135.89611,3.7,15,260,7.4,1.6,JPN,Biwa
JPN11041,35.04111,135.89611,2.7,13,230,9.5,2,JPN,Biwa
JPN11041,35.04111,135.89611,15,27,390,13.5,7,JPN,Biwa
JPN11041,35.04111,135.89611,3.1,8,340,11.4,1.2,JPN,Biwa
JPN11041,35.04111,135.89611,8.5,15,340,10.5,7.2,JPN,Biwa
JPN11041,35.04111,135.89611,4,27,480,11.6,19,JPN,Biwa
JPN11041,35.39167,136.13528,4.5,7,150,8.5,1,JPN,Biwa
JPN11041,35.39167,136.13528,5.9,9,290,13.3,1,JPN,Biwa
JPN11041,35.04111,135.89611,5.1,21,360,13.6,4.6,JPN,Biwa
JPN11041,35.39167,136.13528,6.7,6,260,9.5,1,JPN,Biwa
JPN11041,35.39167,136.13528,2.2,7,170,8.8,1,JPN,Biwa
JPN11042,43.58778,144.53083,0.3,5,80,9.9,0.27,JPN,Lake Mashu - Deepest Point
JPN11042,43.58778,144.53083,0.46,5,80,11.8,0.25,JPN,Lake Mashu - Deepest Point
JPN11042,43.58778,144.53083,0.1,5,90,13,0.09,JPN,Lake Mashu - Deepest Point
JPN11048,36.11972,140.39028,56,102,1800,13.7,21.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,58,117,793,11,21.6,JPN,Kasumigaura
JPN11048,36.04306,140.41167,38,91,689,9.1,24.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,56,51,1316,13.1,13.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,60,82,1029,11.1,15.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,161,91,1443,11.3,20.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,75,186,1820,10.1,41,JPN,Kasumigaura
JPN11048,36.11972,140.39028,111,142,1620,10.3,30.6,JPN,Kasumigaura
JPN11048,35.97778,140.48139,83,134,969,12.2,53.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,63,109,2231,7.8,32.4,JPN,Kasumigaura
JPN11048,36.04306,140.41167,41,74,1088,10.1,13.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,86,107,1382,8.2,21.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,48,87,1060,8.3,21.5,JPN,Kasumigaura
JPN11048,36.11972,140.39028,51,104,1367,9.2,25.9,JPN,Kasumigaura
JPN11048,35.97778,140.48139,22,52,601,10.2,35.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,84,141,963,11.2,33.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,68,88,1048,10.3,13.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,60,119,854,10.95,18.4,JPN,Kasumigaura
JPN11048,36.04306,140.41167,74,80,1052,8.9,16.7,JPN,Kasumigaura
JPN11048,36.11972,140.39028,95,127,1218,8.6,20.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,69,148,1160,9,14.9,JPN,Kasumigaura
JPN11048,36.04306,140.41167,42,80,930,9.4,13.8,JPN,Kasumigaura
JPN11048,36.11972,140.39028,161,154,1971,10.4,43.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,67,118,1088,12.1,25.4,JPN,Kasumigaura
JPN11048,35.97778,140.48139,36,97,1131,7.8,22.9,JPN,Kasumigaura
JPN11048,35.97778,140.48139,71,103,1054,8.7,31.9,JPN,Kasumigaura
JPN11048,36.11972,140.39028,52,50,989,9.1,17.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,46,69,673,9.4,18.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,49,93,1016,12.4,16.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,69,88,2051,10.4,19.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,80,115,918,10.04,20.6,JPN,Kasumigaura
JPN11048,36.11972,140.39028,90,178,1648,11.2,28.4,JPN,Kasumigaura
JPN11048,36.04306,140.41167,44,82,952,12.4,12.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,67,197,922,7.9,41,JPN,Kasumigaura
JPN11048,36.04306,140.41167,34,52,720,13.7,9.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,89,107,968,10.8,16,JPN,Kasumigaura
JPN11048,36.04306,140.41167,36,69,817,12.7,11.2,JPN,Kasumigaura
JPN11048,36.04306,140.41167,40,80,679,8.92,16.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,53,91,897,9.1,18.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,63,94,1207,12.9,22.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,54,159,1376,8.6,32.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,71,84,1175,11.7,18.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,41,73,925,11.3,15.2,JPN,Kasumigaura
JPN11048,36.11972,140.39028,168,171,1825,14.2,31.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,126,149,1687,13.9,30.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,13,36,1344,11.6,8.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,39,116,749,9.2,27.2,JPN,Kasumigaura
JPN11048,36.04306,140.41167,39,69,1018,10.6,12,JPN,Kasumigaura
JPN11048,35.97778,140.48139,41,78,693,8,22.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,40,106,821,6.6,31.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,47,39,856,10.3,11.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,102,180,1362,12,51.4,JPN,Kasumigaura
JPN11048,35.97778,140.48139,47,85,1046,9.7,18.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,71,67,1233,12.2,18.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,79,108,425,8.9,38.5,JPN,Kasumigaura
JPN11048,36.04306,140.41167,32,90,654,8,17.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,81,90,1262,8.9,19.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,116,145,1325,13.6,30.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,60,70,883,13.5,23.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,12,125,761,5.7,28,JPN,Kasumigaura
JPN11048,36.11972,140.39028,62,57,1370,13.4,13.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,83,145,1133,9.2,28,JPN,Kasumigaura
JPN11048,36.11972,140.39028,69,189,811,7,19.8,JPN,Kasumigaura
JPN11048,36.04306,140.41167,87,114,1126,12.1,25.9,JPN,Kasumigaura
JPN11048,36.04306,140.41167,59,63,939,4.1,10.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,83,111,1165,8.4,17.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,49,82,2114,14.1,22.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,87,71,1322,9.1,10.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,38,72,1340,9.8,13.8,JPN,Kasumigaura
JPN11048,36.04306,140.41167,71,85,913,10.9,16.2,JPN,Kasumigaura
JPN11048,36.04306,140.41167,28,102,748,7.66,15.2,JPN,Kasumigaura
JPN11048,36.04306,140.41167,64,88,1127,12.7,21.6,JPN,Kasumigaura
JPN11048,35.97778,140.48139,65,115,1113,8.8,22.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,73,125,1213,12.2,26.8,JPN,Kasumigaura
JPN11048,36.11972,140.39028,79,97,1456,12.8,16.7,JPN,Kasumigaura
JPN11048,36.11972,140.39028,22,48,2286,12.3,10.4,JPN,Kasumigaura
JPN11048,36.04306,140.41167,60,108,880,9.3,16.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,100,124,1149,8.9,22.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,69,74,1083,8.1,14.5,JPN,Kasumigaura
JPN11048,36.11972,140.39028,39,53,1458,11.4,7.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,41,87,715,9.4,13.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,103,67,1677,13.5,16.4,JPN,Kasumigaura
JPN11048,35.97778,140.48139,26,65,707,13.4,16.7,JPN,Kasumigaura
JPN11048,36.11972,140.39028,69,103,1921,13.4,19.2,JPN,Kasumigaura
JPN11048,36.11972,140.39028,1,51,1948,9,2.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,10,48,1906,8.5,6.2,JPN,Kasumigaura
JPN11048,35.97778,140.48139,68,132,1184,10.1,22.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,45,63,1200,13.3,12.4,JPN,Kasumigaura
JPN11048,35.97778,140.48139,40,87,1158,11,16.3,JPN,Kasumigaura
JPN11048,36.11972,140.39028,85,99,1729,11.6,24.7,JPN,Kasumigaura
JPN11048,35.97778,140.48139,65,96,444,10.9,29.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,35,88,1691,11.9,12.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,55,117,1083,13.4,30.4,JPN,Kasumigaura
JPN11048,36.11972,140.39028,109,79,1821,13.6,23.3,JPN,Kasumigaura
JPN11048,35.97778,140.48139,10,75,828,8.6,35,JPN,Kasumigaura
JPN11048,36.04306,140.41167,85,86,1062,9.6,14.8,JPN,Kasumigaura
JPN11048,35.97778,140.48139,70,123,863,7,21.1,JPN,Kasumigaura
JPN11048,36.04306,140.41167,21,137,948,6.7,21.1,JPN,Kasumigaura
JPN11048,36.11972,140.39028,111,149,2271,12.1,32.7,JPN,Kasumigaura
JPN11048,36.04306,140.41167,34,46,968,9.5,9.5,JPN,Kasumigaura
JPN11048,35.97778,140.48139,27,59,702,10.7,8.7,JPN,Kasumigaura
